id;parent_id;name
448;295;from ko produce コ
450;295;from so produce ソ
452;295;from to produce ト
454;295;from ho produce ホ
456;295;from no produce ノ
458;295;from ro produce ロ
460;295;from wo produce ヲ
462;295;from mo produce モ
464;295;from yo produce ヨ
466;295;from i produce イ
468;295;from ki produce キ
470;295;from chi produce チ
472;295;from shi produce シ
474;295;from hi produce ヒ
476;295;from ni produce ニ
478;295;from ri produce リ
480;295;from mi produce ミ
482;295;from n produce ン
45478;45477;Basic grammar
483;292;Additional sounds
565;489;from Car, cart, wagon, vehicle produce 車 
566;489;from walking legs produce Symbol
567;489;from each produce 各 
568;489;from crown produce Symbol
569;489;from chariot produce 軍 
570;489;from whirlwind produce Symbol
571;489;from tall produce Symbol
572;489;from lidded crock produce Symbol
573;489;from lap produce 周 
484;483;Voiced consonants
574;489;from samurai produce 士 
575;489;from aerosol can produce 吉 
576;489;from schoolhouse produce Symbol
577;489;from brush produce Symbol
578;489;from taskmaster produce Symbol
579;489;from saying, speech, words produce 言 
580;489;from arrow produce Symbol
581;489;from quiver produce Symbol
582;489;from fiesta produce Symbol
583;489;from Thanksgiving produce Symbol
584;489;from parade produce Symbol
585;489;from march produce Symbol
586;489;from float produce Symbol
587;489;from stop, footprint produce 止 
588;489;from mending produce Symbol
589;489;from stretch produce Symbol
590;489;from zoo produce Symbol
591;489;from cloak produce Symbol
592;489;from scarf produce Symbol
593;489;from top hat and scarf produce Symbol
594;489;from garment produce 衣 
595;489;from towel produce Symbol
486;483;Y vowel sound
596;489;from apron produce Symbol
597;489;from belt produce Symbol
598;489;from rising cloud produce Symbol
599;489;from rain, weather produce 雨 
600;489;from ice produce Symbol
601;489;from heaven, heavens, witch produce 天 
602;489;from angel produce Symbol
603;489;from vase, standing up produce 立 
604;489;from antique produce Symbol
605;489;from spoon, sitting on the ground produce 匕 
606;489;from siesta produce Symbol
607;489;from reclining produce Symbol
608;489;from double back produce Symbol
609;489;from yawn, lack produce 欠 
610;489;from next, second produce 次 
611;489;from muzzle produce Symbol
612;489;from sound produce 音 
613;489;from kazoo produce Symbol
614;489;from mirror produce Symbol
615;489;from deceased, to perish produce 亡 
616;489;from compass, direction produce 方 
617;489;from devil produce Symbol
618;489;from increase produce 曽 
619;489;from east, East produce 東 
620;489;from porter produce Symbol
621;489;from scorpion produce Symbol
622;489;from insect produce 虫 
623;489;from snake produce 己 
624;489;from wrap produce 包 
625;489;from eel produce Symbol
626;489;from tortoise produce 亀 
627;489;from sow produce Symbol
628;489;from piglets produce Symbol
629;489;from piggy bank produce Symbol
630;489;from sheep produce 羊 
631;489;from wool produce Symbol
632;489;from turkey produce Symbol
633;489;from horse produce 午 
634;489;from Pegasus produce Symbol
635;489;from wings, feathers produce Symbol
636;489;from pent in produce Symbol
637;489;from cave produce Symbol
638;489;from heart produce 心 
639;489;from state of mind produce Symbol
640;489;from valentine produce Symbol
641;489;from hand produce 手 
642;489;from fingers produce Symbol
643;489;from two hands produce Symbol
644;489;from genie, genius produce 才 
645;489;from genie in the bottle produce Symbol
646;489;from fist produce 乃 
647;489;from outstretched hands produce 及 
648;489;from arm produce Symbol
649;489;from crotch produce 又 
650;489;from missile produce Symbol
651;489;from spool produce Symbol
652;489;from vulture produce Symbol
653;489;from fledgling produce Symbol
654;489;from birdhouse produce Symbol
655;489;from elbow produce Symbol
656;489;from wall produce Symbol
657;489;from infant produce Symbol
658;489;from to go in, to put in, to come in produce 入 
659;489;from gully produce Symbol
660;489;from outhouse produce Symbol
661;489;from bone produce Symbol
662;489;from sunglasses produce Symbol
663;489;from mandala produce Symbol
664;489;from lose, to drop produce 失 
665;489;from slave produce 臣 
666;489;from muscle, power produce 力 
667;489;from column, going, line produce Symbol
668;489;from boulevard produce 行 
669;489;from wheat produce Symbol
670;489;from rice, United States produce 米 
671;489;from grains of rice produce Symbol
672;489;from bamboo produce 竹 
673;489;from person produce Symbol
674;489;from assembly line produce Symbol
675;489;from plow produce Symbol
676;489;from puzzle produce Symbol
677;489;from shredder produce Symbol
678;489;from banner produce Symbol
679;489;from flag produce Symbol
680;489;from shakuhachi produce 尺 
681;489;from altar produce Symbol
682;489;from shoot, sprout produce 由 
683;489;from roots produce 甲 
684;489;from monkey produce 申 
685;489;from saw produce Symbol
686;489;from broom produce Symbol
687;489;from rake produce Symbol
688;489;from sieve produce Symbol
689;489;from mop produce Symbol
690;489;from comb produce Symbol
691;489;from shovel produce Symbol
692;489;from measuring cup produce 斗 
693;489;from screwdriver produce 用 
694;489;from salad produce Symbol
695;489;from caverns produce Symbol
696;489;from haystack produce Symbol
697;489;from straw man produce Symbol
698;489;from quarter produce Symbol
699;489;from building blocks produce 之 
700;489;from spear produce Symbol
701;489;from dollar sign produce Symbol
702;489;from snare produce Symbol
703;489;from slingshot produce Symbol
704;489;from old man produce Symbol
705;489;from puppet produce 者 
706;489;from scissors produce Symbol
707;489;from maestro produce Symbol
708;489;from wooden leg produce 足 
709;489;from jawbone produce Symbol
710;489;from pinnacle produce Symbol
711;489;from hole produce 穴 
712;489;from paper punch produce Symbol
713;489;from cocoon produce Symbol
714;489;from abacus produce 幾 
715;489;from yarn produce 系 
716;489;from stamp produce Symbol
717;489;from chop-seal produce Symbol
718;489;from fingerprint produce Symbol
719;489;from mailbox produce Symbol
720;489;from receipt produce Symbol
721;489;from staples produce Symbol
722;489;from whiskey bottle produce 酉 
723;489;from table produce 豆 
724;489;from drum produce Symbol
725;489;from silver produce Symbol
726;489;from halo produce 良 
727;489;from eating, food produce 食 
728;489;from waitress produce Symbol
729;489;from water lily produce 平 
730;489;from sheaf produce Symbol
731;489;from earthworm produce Symbol
732;489;from spicy produce 辛 
733;489;from red pepper produce Symbol
734;489;from ketchup produce Symbol
735;489;from cornucopia produce Symbol
736;489;from rice seedling produce Symbol
737;489;from acorn produce 亥 
738;489;from resin produce Symbol
739;489;from celery produce Symbol
740;489;from grass skirt produce Symbol
741;489;from grow up produce Symbol
742;489;from bushes produce Symbol
743;489;from cell, grow up produce 生 
744;489;from Christmas tree produce Symbol
745;489;from bonsai produce Symbol
746;489;from cornstalk produce Symbol
747;489;from cabbage produce Symbol
748;489;from scarecrow produce Symbol
749;489;from silage produce Symbol
750;489;from clock produce 今 
751;489;from west produce 西 
752;489;from old west produce Symbol
753;489;from gates produce 門 
754;489;from jail cell produce 非 
755;489;from key produce Symbol
756;489;from guillotine produce Symbol
757;489;from locket produce Symbol
758;489;from clothesline produce 干 
759;489;from potato produce Symbol
760;489;from scale produce 余 
761;489;from awl produce Symbol
762;489;from sickness produce Symbol
763;489;from box produce Symbol
764;489;from teepee produce Symbol
765;489;from pup tent produce Symbol
766;489;from shape produce Symbol
767;489;from plaid produce 文 
768;489;from fenceposts produce Symbol
769;489;from sparkler produce Symbol
770;489;from red produce 赤 
771;489;from apple produce Symbol
772;489;from mosaic produce Symbol
773;489;from wicker basket produce 甘 
774;489;from bushel basket produce Symbol
775;489;from purse produce Symbol
776;489;from shelf produce Symbol
777;489;from row produce 並 
778;489;from upside down in a row produce Symbol
779;489;from together, strung together, bushel basket produce 共 
780;489;from angles produce 角 
781;489;from funnel produce Symbol
782;489;from scrapbook produce Symbol
783;489;from calling card produce Symbol
784;489;from dog tag produce Symbol
785;489;from city walls produce Symbol
786;489;from drag produce Symbol
787;489;from clothes hanger produce Symbol
788;489;from animal tracks produce Symbol
789;489;from dice, turn produce 番 
790;489;from lock of hair produce Symbol
791;489;from tail feathers produce Symbol
792;489;from hairpin produce Symbol
793;489;from hair produce Symbol
794;489;from mane produce Symbol
795;489;from owl produce Symbol
796;489;from migrating ducks produce Symbol
797;489;from mountain goat produce Symbol
798;489;from condor produce Symbol
799;489;from skunk produce Symbol
800;489;from rabbit produce 免 
801;489;from horse produce 馬 
802;489;from tiger produce Symbol
803;489;from deer produce Symbol
804;489;from painting of a deer produce 鹿 
805;489;from golden calf produce Symbol
45479;45478;State of being
