48232;47894 47885 54231 47905
48233;47886 54247 47885 47866
48234;47909 54743 47874
48235;54357 47909 47902
48236;47880 47892
48237;47884 47901 47905 54304 54234 484 47882 55258 47900
48238;47880 47864
48239;54297 47902 47867
48240;54366 54234 47865 47900 47882
48241;484 47868 47893
48242;47903 487 47892
48243;54526 484 47902 47908
48244;47888 484 47876 47864
48245;47892
48246;47877 47894 47899
48247;47903 54394 47904
48248;54253 47877
48249;47865 47891 47869
48250;47883 54311 47864
48251;47901 47885 47903 54234 47866 54231
48252;47906 47905 47903 54234 484 47882 55258 47900
48253;47869 47885 54394
48254;484 47880 47894
48255;54243 47866 47871 47904
48256;54418 47902 47884
48257;488 484 47922 47935
48258;47894 54230 47907 47905 54231
48259;47894 54563 47903 54405 484 47899 47866
48260;47865 47888 54375 47874
48261;47902 54534 484 54257 47909 47876
48262;47877 47902 54257 54370 47909
48263;47884 47901 47869 47883 54307
48264;47888 47880 47868 54998
48265;54241 486 484 47904 47882
48266;47910 484 47940
48267;47883 47864 54484
48268;47883 47903 54317
48269;47888 55172 47881 47904
48270;47909 54240 484 47904 47865 54252
48271;47889 47901 54378 54234 47865
48272;47897 47882 54280 47904
48273;47894 54234 54261 47865 47891
48274;47892 47875 484 54262 47909 54991
48275;47892 484 54727 47868 47909 54265
48276;47894 47905 54460 54234 484 47882 55258 47900
48277;47902 47905 54357 54234 484 47909 47882 55258 47900
48278;54275 47902 47885
48279;47900 54340
48280;47888 484 54393 47866 47878
48281;47909 54246 47869
48282;484 47868 47909 54727
48283;47892 54947 484 47868 47909
48284;487 47908 47885 54259
48285;47888 55068 47905
48286;54232 47908 47885 47888 47865
48287;47880 47893
48288;54329 47891 47894 47892
48289;55497 47892 486 47904 47909 54265 47882
48290;47882 47892
48291;47864 47882 54332
48292;47876 47885 47905 54234 484 54275 47882 55258 47900
48293;47885 54854 47883 54234 484 47867 47904
48294;47889 47873 47884 55003
48295;47892 47906 47903 54234 47909 54265
48296;54346 47905 47883 54234 484 47899 47882 55258 47900
48297;54278 47901 54319 47868 484 47864
48298;47888 47885 47876
48299;55476 47902 47874
48300;47888 54614 47894 47881
48301;47883 47888 47864 54386
48302;47883 47903 47865 54358
48303;487 47894 47899
48304;47903 47865 47901 54358
48306;54354 47875 54338 47886 484 47909
48307;47883 54331 47906
48308;484 54431 47904 47865 47909 55280
