54312;48012 48201
54378;48201 48157
54394;47962
54458;47963
54261;47964
54234;47965
54275;47966
54314;47967
54443;47964 47959
54775;47959
55869;47965 47968
56095;47966
54300;47965 47966
55478;47959 47965
55913;47965
54508;47959
55236;47959
55798;47965
54454;48110 47965 47964
56303;47965 47963
54310;47964
56009;47966 47967
55018;47965 47957
55617;47965 47966 47957
56284;47965 47957
55222;47965
54248;47968
54323;47965
54440;48112 47957
54244;47959
54517;47964
55341;47964 47959
56040;47964
55703;47964 47965
54814;47963
54944;48114
56241;47966 48114
55352;47964 48114 47967
54757;47964 48114 47967 47971
55465;47959 47972
54241;47972 47957
54266;47972 47957
55213;48110 47965 47964
54448;47965 47973 48110 47964 47966
55832;47965 47973 47959 47964 48110 47966
55389;47959 48201 48183
55789;48116 47968 48201 48183
55519;47968 48183 47959 48201 48116
55473;47968 48183 47972 48201 48116
54846;47968 48183 47959 48201 48116
56046;47968 48183 47959 48201 48116
54232;47968 48201
54941;47965 48201
54534;48201
55792;47968 48183 48201 48116 47957
55841;48117 47968 48183 48201 48116 47957
55101;47974
54834;47968 48183 47975 48201 48116
54586;47975 47957
54816;47959 47975
55594;47966 47974
56121;47975 47965
56390;47975
54267;47975 48112 48196
54620;48111 47976 47968 47957
55764;48118
54922;47964 48118 47959
54404;47964 47968 48118
54786;47968 48201 48183
54372;47964 47968 48201 48183
54633;48119
54525;48119
54526;47959
54395;47966
56311;47968 48183 48201 48116 47966
55949;48116 47968 48183 48201 48119
56073;48116 48117 47968 48183 48201 48119 47957
54882;48120
55824;48120
54356;48120 47962
55312;47959 48120
54664;47959 47965 48121 48120
55334;48120 47968 48183 48201 48116
56070;47959 48120 47967 47957
54416;47959 47975 48120
54852;48122
54469;48122 47967
54522;47959 48122
55067;48117 48122 47968 48183 48201 48116 47957
55474;48123 48118
54418;48123 48124
54447;47959 48124
54361;48125
55452;48125 47968 48183 48201 48116
54621;47959 48126 48201
55722;47959 48126 48201
56071;47964 48126 47959 48201
54307;48134
54349;48129
56262;48134 48129
54330;48129
54316;48129 47959
54453;47959
56103;48134 47966 48131
55691;48134 47966 48130 48131
55920;47964 47963 48130
55194;48130
55959;48130 48124
56025;48134 48120 47966 48131
54417;48134 48201
54871;47959
55466;48111 47968
54740;48124
55223;47968
55398;48123 47965
54891;47959 48122
54390;48132
54861;48132
55204;48117 47968 48183 48201 48116 48132 47957
55471;48134
54865;48134
55119;48134 48112
56395;48134 47966 48112
54427;48134 48112
54863;48134 48117 48112 47968 48183 48201 48116 47957
55810;48134
55589;48134 48120 48121 47959
55791;48134 47959
56312;48134 47974
54637;48134 48119
55818;48134
55801;48134 47964
55527;48134
55367;48134 47965 47973 47964 48110 47966
54853;48134 47965
54407;48134 48109 47964 47959
54640;48134 47966 48131
55981;48134 48126 47959 48201
54724;48134 48122 47959
55207;48134 48112
55461;48134 47959 47964 47966 48109
55611;48134 48120 47968 48183 48201 48116
54460;48135
55290;47959 48135
55350;48135
56379;47959 48122 48135
55434;47965 48135 47957
56198;48135 48136
55403;48114 48135 48136
55482;48134 48135 48136
54626;48135 48114
54240;47965 48135 48114
55855;48135 48196
55788;48131
55742;48117 47968 48183 48131 48201 48116 47957
55528;48134 48131
55044;48122 48131
55331;47967 48131
55636;48132 48131
55483;48131
54434;47959
54951;47959 47965 48121 48120
54988;47975 47967
55647;48134 47975 47967
54768;47967 48135 48138
54527;48138
55732;48138
56109;47975 48138 47967
55088;47965 48138 47957
56243;48138
55126;48135 48138
54291;47959 48139
55701;48134 48139 47959
55856;47959 47966 48139
54339;47959
55259;48134 47959
54431;48123
54648;48114
55140;48201
55493;47965 47957
55725;48134 47966 48131
54470;48124
55880;47965 48124
54558;47959 48122
54896;47959 47967 47957
56052;48122 47968 48183 48201 48116
54346;48140
54730;48140
54955;48140
55980;48140 48135 48136
56038;48140 48112
56256;47964 48140 47963
55940;48134 48140 47966 48131
55500;48140 47966
56115;47959 48140
56067;47959 48140 48139
55133;47964 48140 47968 48118
55283;47959 48140 48122
55487;47964 48140 48109 47959
56047;48140
54409;48140 48114
54343;48140 47968
55282;48140 47974
54256;48140
55459;48140 48118
55929;48140 47965
54810;48140 48124
56210;47959 48140 48131
54818;48140
54784;48140
56042;47965 48140
56259;48134 48140
54347;47959 48140
55059;48140 48124
55756;48140
55956;48140
54422;47959 48189
54485;48110 47965 48189 47964
54466;47964 48109 48189 47959
56012;47959 48122 48189
55567;47968 48201 48189
54778;48134 47971 48189 47967 47964 48114
54353;48140 48189
55246;48140 48189 47965
55839;48134 47965 48189
55244;47965 48135 48189
54756;47965 48189
56244;47965 47966 48189
56134;48189 47967
56185;48141
55622;48140 48141
54858;47968 48141
54801;48141 48142
54779;48142 48138
54302;47966 48142
56269;48189 48131
55888;48114
55275;48189 47967
54577;48135 48143 48114
54581;47959 48143
54297;48143 48201
55150;48134 48143 48201
54866;48183
54529;48183 47967
54599;48140 48183 48189
56138;47966 48183
54278;47959 48183
55479;47959 48183 48135 48189
54593;48145
54836;48144 48145
55294;48144 48145
55707;48140 48144 48145
54351;47968 48144 48201 48145
56089;48144 48201 48145
54967;48144 48145
56295;47965 48144 48145
55022;48112 48144 48145
56078;47959 48144 48145
54354;48144 48183 48145
56313;48140 48144 48183 48145
54313;48144 48138 48145
54315;48144 48145
54665;48134 48144 48146 48145
55337;48140 48144 48146 48145
54357;48145 48144 48183 48147
56403;48143 48201 48147
55366;48140 48147
55717;47959 48139 48147
55339;47975 48196 48147
55372;47964 48147
55902;48129 47959 48147
55861;47968 48183 48147 48201 47964
54325;47976 47968
55340;47976 47968 48114
55681;47964
56192;47964 48118
54666;47959 48143
55153;48112
54752;48141
54798;48120
55406;48132
54429;47964 47965
56242;47963
55954;48120 47966 48183
54262;48120 47976 47966
56195;48120 47976 47966
55039;47959 48201
54673;48149 48140 48201 47959
56385;48149 47968 48183 47959 48201 48116
55374;47959 48149 48201 47967
54583;47959 48149 48201
55169;48117 48149 47968 48183 47959 48201 48116 47957
54888;47968 48201 47957
54426;48201 47974
54930;48140 48201
54391;48134 48149 47959 48201 48189
55761;47974
56154;47965
54562;48148 48150
55326;48134 48148 48201 48150
54554;48148 48150
55709;48201 48114
54624;48129 47968 48189
56101;47977 48135 47974 48157
54362;47959 48157
55909;47959 48151 48157
56043;48123 48151 48135 48157 47959 47963
55538;48123 48151 48157 47959 47963
55254;47959 48122 48151 48157
54506;47959 48151 48134 48157
55669;47959 48151 48134 48157
54794;48134 47965 48151 48157 47959
56177;48134 48151 48157 47959 47975 47967
55047;48154 48135 48183 47959
54958;48154 48135 47959
55497;48154 48135 47959
54415;48153
54433;47959 48153
55562;48141 48153
55564;48141 48189 48153
54683;48055 48201 48153
54277;48123 47978 48104
54504;47968 48201 47978 48104
55267;48140 47978 48104
54276;47965 47979
54984;48134 47979
55405;48143 47980
55556;48119 47980
55261;47968 48183 48201 47980 48116
54993;48140 47980
54600;47964 48109 47959 47980
55110;47959 47975 48189 47980
54254;47959 48155
54923;47959 47975 48155 48189 47980
54663;47959 48155 47964
55848;48144 48183 48145 47959 48155
55380;47959 48142 48155
56164;47959 48122 48155
55433;47959 48155 48114
55684;47959 48132 48155
56297;47959 48121 48155 48120
55087;47959 48155 48153
54294;47959 48155
55967;47959 48155 48134
54711;47959 48135 48155 48114
54410;47959 48155
54512;48153 47959 48055 48155 48201
54510;47959 48135 48155
54685;47959 48155 48131
56105;47959 48155 48189
56137;47959 48120 47966 48155
54548;48119 47981
55082;47959 48119 48155 47981
56331;47982
55749;47959 47983 48135 47957
55602;47983 47968 48183 48201 47964 48116
56223;47964 47983 48140 47984
55285;47964 47983 48148 47984
55417;47985 48189
56072;48134 47985
54322;48120 47985
54734;48120 48135 47985
55395;47959 48120 48155 47985
55176;48124 47986
55117;48134 48131 47986
55240;48134 47959 47986
55747;47968 48189 47986
56151;48140 47987 47983
55021;47983 47987 48147
55095;48134 47983 47987
54614;48156
54386;48156
55735;48134 48156
55825;48117 47968 48183 48201 48156 48116 47957
55829;48156 47966
55716;48156 48183
54845;48156 48140
54571;48156 47981
56231;47968 48183 48201 48156 48116 47981
54326;48156 47957
54872;47959 48155 48201 48156 47957
54580;48156 48201 47957 47980
56122;48147
54695;48135
55557;47959 48121 48135 48120
56128;48135
54691;48135 47985
54900;47965
54493;47965 48117 47968 48183 48201 48116 47957
55919;47965 48135
54826;47989 47979
55800;47989 47979 48147
55265;48156 47989
56112;47959 47989 48156 48155
55893;48140 47990 48130
56096;47966 47990 48124
54848;48157
55408;47964 47983 48157 47984
55081;48141 48157 48153
54788;48138 48157
55588;47964 47968 48135 48157
55177;47959 48157
54492;48154 48135 47959 48157
55444;48154 48135 47959 48157
54401;48120 48157
55427;47974
55715;47959 47967 47957
55284;47965 47968
55105;47965 48189
56261;48134 47965 48201
55974;48112 48147
54694;48157
55847;48140 48157
54927;48124 48157
56085;47966 48157
54973;47991
55977;48134 47991
55135;48140 47992 48120
54628;48120 47992 48143
55234;48120 47992 48143 48157
