floor, ceiling;一
porter;{{img:https://storage.googleapis.com/annielearn-60998.appspot.com/porter.png}}
scorpion;{{img:https://storage.googleapis.com/annielearn-60998.appspot.com/scorpion.png}}
insect;虫
snake;己
wrap;包
eel;{{img:https://storage.googleapis.com/annielearn-60998.appspot.com/eel.png}}
tortoise;亀
sow;{{img:https://storage.googleapis.com/annielearn-60998.appspot.com/sow.png}}
piglets;{{img:https://storage.googleapis.com/annielearn-60998.appspot.com/piglet.png}}
piggy bank;{{img:https://storage.googleapis.com/annielearn-60998.appspot.com/piggy%20bank.png}}
sheep;羊
wool;{{img:https://storage.googleapis.com/annielearn-60998.appspot.com/wool.png}}
turkey;{{img:https://storage.googleapis.com/annielearn-60998.appspot.com/turkey.png}}
horse;午
Pegasus;{{img:https://storage.googleapis.com/annielearn-60998.appspot.com/pegasus.png}}
wings, feathers;羽, {{img:https://storage.googleapis.com/annielearn-60998.appspot.com/feathers.png}}
pent in;{{img:https://storage.googleapis.com/annielearn-60998.appspot.com/pent%20in.png}}
cave;{{img:https://storage.googleapis.com/annielearn-60998.appspot.com/cave.png}}
heart;心
state of mind;{{img:https://storage.googleapis.com/annielearn-60998.appspot.com/state%20of%20mind.png}}
valentine;{{img:https://storage.googleapis.com/annielearn-60998.appspot.com/valentine.png}}
hand;手
fingers;{{img:https://storage.googleapis.com/annielearn-60998.appspot.com/finger.png}}
two hands;{{img:https://storage.googleapis.com/annielearn-60998.appspot.com/two%20hands.png}}
genie, genius;才
genie in the bottle;{{img:https://storage.googleapis.com/annielearn-60998.appspot.com/genius.png}}
fist;乃
outstretched hands;及
arm;{{img:https://storage.googleapis.com/annielearn-60998.appspot.com/arm.png}}
crotch;又
missile;{{img:https://storage.googleapis.com/annielearn-60998.appspot.com/missile.png}}
spool;{{img:https://storage.googleapis.com/annielearn-60998.appspot.com/spool.png}}
vulture;爪, {{img:https://storage.googleapis.com/annielearn-60998.appspot.com/vulture.png}}
fledgling;{{img:https://storage.googleapis.com/annielearn-60998.appspot.com/fledgling.png}}
birdhouse;{{img:https://storage.googleapis.com/annielearn-60998.appspot.com/birdhouse.png}}
elbow;{{img:https://storage.googleapis.com/annielearn-60998.appspot.com/elbow.png}}
wall;{{img:https://storage.googleapis.com/annielearn-60998.appspot.com/wall.png}}
infant;{{img:https://storage.googleapis.com/annielearn-60998.appspot.com/infant.png}}
to go in, to put in, to come in;入
gully;{{img:https://storage.googleapis.com/annielearn-60998.appspot.com/gully.png}}
outhouse;{{img:https://storage.googleapis.com/annielearn-60998.appspot.com/outhouse.png}}
bone;{{img:https://storage.googleapis.com/annielearn-60998.appspot.com/bone.png}}
sunglasses;{{img:https://storage.googleapis.com/annielearn-60998.appspot.com/sunglasses.png}}
mandala;{{img:https://storage.googleapis.com/annielearn-60998.appspot.com/mandala.png}}
lose, to drop;失
slave;臣
muscle, power;力
